,kategori,nama_penyakit,gejala,rule,vars,weights
0,Respirasi,common_cold,"['demam', 'batuk', 'hidung_berair', 'hidung_tersumbat', 'hidung_gatal', 'bersin']","IF demam sedang AND batuk_sedang AND hidung_berair berat AND hidung_tersumbat berat AND hidung_gatal sedang AND bersin berat THEN common_cold","['demam_sedang', 'batuk_sedang', 'hidung_berair_berat', 'hidung_tersumbat_berat', 'hidung_gatal_sedang', 'bersin_berat']","[0.15, 0.10, 0.25, 0.20, 0.10, 0.20]"
1,Respirasi,influenza,"['demam', 'sakit_kepala', 'hidung_berair', 'sakit_tenggorokan', 'batuk']","IF demam tinggi AND sakit_kepala sedang AND hidung_berair berat AND sakit_tenggorokan sedang AND batuk berat THEN influenza","['demam_tinggi', 'sakit_kepala_sedang', 'hidung_berair_berat', 'sakit_tenggorokan_sedang', 'batuk_berat']","[0.25, 0.15, 0.20, 0.15, 0.25]"
2,Respirasi,faringitis_akut,"['demam', 'sakit_kepala', 'nyeri_menelan', 'sakit_tenggorokan', 'batuk']","IF demam sedang AND sakit_kepala ringan AND nyeri_menelan berat AND sakit_tenggorokan berat AND batuk sedang THEN faringitis_akut","['demam_sedang', 'sakit_kepala_ringan', 'nyeri_menelan_berat', 'sakit_tenggorokan_berat', 'batuk_sedang']","[0.15, 0.10, 0.25, 0.25, 0.25]"
3,Respirasi,tonsilitis_akut,"['demam', 'sakit_kepala', 'nyeri_menelan', 'sakit_tenggorokan', 'pembengkakan_amandel']","IF demam sedang AND sakit_kepala ringan AND nyeri_menelan berat AND sakit_tenggorokan berat AND pembengkakan_amandel berat THEN tonsilitis_akut","['demam_sedang', 'sakit_kepala_ringan', 'nyeri_menelan_berat', 'sakit_tenggorokan_berat', 'pembengkakan_amandel_berat']","[0.10, 0.10, 0.30, 0.25, 0.25]"
4,Respirasi,rinitis_alergi,"['hidung_berair', 'hidung_tersumbat', 'bersin', 'hidung_gatal']","IF hidung_berair berat AND hidung_tersumbat sedang AND bersin berat AND hidung_gatal berat THEN rinitis_alergi","['hidung_berair_berat', 'hidung_tersumbat_sedang', 'bersin_berat', 'hidung_gatal_berat']","[0.30, 0.20, 0.25, 0.25]"
5,Respirasi,ispa,"['demam', 'sakit_kepala', 'hidung_berair', 'hidung_tersumbat', 'sakit_tenggorokan', 'sesak_napas', 'batuk', 'napas_mengi']","IF demam sedang AND sakit_kepala sedang AND hidung_berair sedang AND hidung_tersumbat sedang AND sakit_tenggorokan sedang AND sesak_napas sedang AND batuk sedang AND napas_mengi sedang THEN ispa","['demam_sedang', 'sakit_kepala_sedang', 'hidung_berair_sedang', 'hidung_tersumbat_sedang', 'sakit_tenggorokan_sedang', 'sesak_napas_sedang', 'batuk_sedang', 'napas_mengi_sedang']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
6,Respirasi,pneumonia,"['demam', 'sesak_napas', 'batuk', 'dahak', 'nyeri_dada']","IF demam tinggi AND sesak_napas berat AND batuk berat AND dahak berat AND nyeri_dada berat THEN pneumonia","['demam_tinggi', 'sesak_napas_berat', 'batuk_berat', 'dahak_berat', 'nyeri_dada_berat']","[0.15, 0.25, 0.25, 0.25, 0.10]"
7,Respirasi,bronkitis,"['demam', 'sesak_napas', 'batuk', 'dahak', 'napas_mengi']","IF demam sedang AND sesak_napas sedang AND batuk berat AND dahak berat AND napas_mengi sedang THEN bronkitis","['demam_sedang', 'sesak_napas_sedang', 'batuk_berat', 'dahak_berat', 'napas_mengi_sedang']","[0.10, 0.15, 0.30, 0.25, 0.20]"
8,Respirasi,ppok,"['sesak_napas', 'batuk', 'dahak', 'napas_mengi']","IF sesak_napas berat AND batuk berat AND dahak berat AND napas_mengi sedang THEN ppok","['sesak_napas_berat', 'batuk_berat', 'dahak_berat', 'napas_mengi_sedang']","[0.25, 0.25, 0.30, 0.20]"
9,Respirasi,asma,"['sesak_napas', 'batuk', 'nyeri_dada', 'napas_mengi']","IF sesak_napas berat AND batuk sedang AND nyeri_dada sedang AND napas_mengi berat THEN asma","['sesak_napas_berat', 'batuk_sedang', 'nyeri_dada_sedang', 'napas_mengi_berat']","[0.35, 0.20, 0.15, 0.30]"
